,showcase_1,showcase_2,bid_1,bid_2,diff_1,diff_2,estimated_bid1,estimated_diff1,estimated_bid2,estimated_diff2
0,50969.0,45429.0,52852.2198175708,34000.0,1883.2198175708036,-11429.0,52852.2198175708,1883.2198175708036,52852.2198175708,-11429.0
1,21901.0,34061.0,37537.71314869294,59900.0,15636.713148692943,25839.0,37537.71314869294,15636.713148692943,37537.71314869294,25839.0
2,32815.0,53186.0,35579.15404542412,45000.0,2764.1540454241185,-8186.0,35579.15404542412,2764.1540454241185,35579.15404542412,-8186.0
3,44432.0,31428.0,45814.458830196876,38000.0,1382.458830196876,6572.0,45814.458830196876,1382.458830196876,45814.458830196876,6572.0
4,24273.0,22320.0,30887.813292566545,23000.0,6614.813292566545,680.0,23700.0,-573.0,10000.0,-12320.0
5,30554.0,24337.0,37308.4148374992,18525.0,6754.4148374992,-5812.0,29350.0,-1204.0,10000.0,-14337.0
6,20963.0,41373.0,12187.35429892739,32000.0,-8775.64570107261,-9373.0,10200.0,-10763.0,10000.0,-31373.0
7,28941.0,45437.0,29928.099125129644,45000.0,987.0991251296437,-437.0,21000.0,-7941.0,16950.0,-28487.0
8,25851.0,41125.0,30821.424729550432,32000.0,4970.424729550432,-9125.0,21200.0,-4651.0,17050.0,-24075.0
9,28800.0,36319.0,31242.76136272722,27500.0,2442.7613627272185,-8819.0,21150.0,-7650.0,17850.0,-18469.0
10,37703.0,38752.0,57567.05886330691,23800.0,19864.058863306913,-14952.0,43900.0,6197.0,19150.0,-19602.0
11,34774.0,28450.0,47277.32029304041,18975.0,12503.320293040408,-9475.0,33650.0,-1124.0,17550.0,-10900.0
12,25268.0,39745.0,21118.361337879025,35555.0,-4149.638662120975,-4190.0,16700.0,-8568.0,22700.0,-17045.0
13,44044.0,40894.0,43622.275720551304,35000.0,-421.7242794486956,-5894.0,30500.0,-13544.0,24900.0,-15994.0
14,32516.0,30608.0,32288.381819907325,29765.0,-227.61818009267517,-843.0,22600.0,-9916.0,24300.0,-6308.0
15,30827.0,30463.0,27202.714315658166,34000.0,-3624.285684341834,3537.0,20350.0,-10477.0,27250.0,-3213.0
16,40374.0,29405.0,34053.07647370105,23000.0,-6320.923526298953,-6405.0,24350.0,-16024.0,23050.0,-6355.0
17,27698.0,31290.0,29763.86248458155,25000.0,2065.8624845815502,-6290.0,22400.0,-5298.0,23600.0,-7690.0
18,23590.0,38597.0,35144.17186212741,24000.0,11554.171862127412,-14597.0,25450.0,1860.0,23800.0,-14797.0
19,38625.0,33917.0,39124.11227876253,42333.0,499.11227876252815,8416.0,27650.0,-10975.0,29750.0,-4167.0
20,24026.0,43036.0,26711.12192685127,27000.0,2685.1219268512687,-16036.0,21150.0,-2876.0,25100.0,-17936.0
21,37449.0,36623.0,41164.77711739246,24500.0,3715.777117392463,-12123.0,29650.0,-7799.0,24600.0,-12023.0
22,34268.0,31681.0,20313.52511523627,27500.0,-13954.474884763731,-4181.0,18150.0,-16118.0,26000.0,-5681.0
23,22281.0,29080.0,22858.444966648196,29500.0,577.444966648196,420.0,19600.0,-2681.0,26550.0,-2530.0
24,22890.0,34137.0,25960.38413157837,25000.0,3070.3841315783684,-9137.0,20700.0,-2190.0,25100.0,-9037.0
25,24226.0,24925.0,12628.74096953573,28000.0,-11597.25903046427,3075.0,15550.0,-8676.0,26200.0,1275.0
26,25448.0,36174.0,33303.236532233255,22000.0,7855.236532233255,-14174.0,24300.0,-1148.0,23950.0,-12224.0
27,32525.0,23705.0,35895.58889050203,27500.0,3370.588890502033,3795.0,26000.0,-6525.0,25850.0,2145.0
28,36799.0,24897.0,35138.651001541504,22000.0,-1660.3489984584958,-2897.0,25550.0,-11249.0,23450.0,-1447.0
